C4ORF34
C4ORF42
C4orf19
C4orf26
C4orf33
C4orf39
C4orf42
C4orf43
C4orf46
C5
C5ORF22
C5ORF25
C5ORF30
C5ORF42
C5ORF44
C5ORF54
C5ORF55
C5ORF62
C5orf20
C5orf24
C5orf30
C5orf54
C5orf55
C5orf60
C5orf62
C6
C6ORF136
C6ORF165
C6ORF47
C6ORF62
C6orf165
C6orf182
C6orf218
C6orf226
C6orf35
C6orf54
C6orf97
C7ORF23
C7ORF25
C7ORF26
C7ORF34
C7ORF50
C7orf30
C7orf31
C7orf42
C7orf50
C7orf59
C7orf68
C8ORF33
C8ORF48
C8orf33
C8orf34
C8orf48
C8orf51
C8orf71
C9ORF100
C9ORF114
C9ORF156
C9ORF16
C9ORF169
C9ORF25
C9ORF46
C9ORF7
C9ORF72
C9ORF78
C9ORF82
C9ORF86
C9ORF9
C9orf100
C9orf106
C9orf116
C9orf16
C9orf171
C9orf23
C9orf24
C9orf46
C9orf6
C9orf7
C9orf72
C9orf80
C9orf9
C9orf95
C9orf98
CA1
CA12
CA2
CA6
CA8
CABC1
CABIN1
CABLES1
CABP1
CABP2
CABP5
CACHD1
CACNA1A
CACNA1B
CACNA1C
CACNA1F
CACNA1G
CACNA1S
CACNB1
CACNB2
CACNB4
CACNG1
CACNG2
CACYBP
CAD
CADM1
CADM4
CADPS
CADPS2
CAGE1
CALCA
CALCOCO1
CALCOCO2
CALCR
CALCRL
CALD1
CALM1
CALM2
CALM3
CALML3
CALR
CALU
CALY
CAMK1
CAMK2A
CAMK2B
CAMK2D
CAMK2G
CAMK4
CAMKK1
CAMKK2
CAMKV
CAMLG
CAMSAP1
CAMSAP3
CAMTA2
CAND1
CANX
CAP1
CAP2
CAPN1
CAPN2
CAPN3
CAPN7
CAPNS1
CAPNS2
CAPRIN2
CAPZA2
CAPZB
CARD10
CARD11
CARD14
CARD16
CARD6
CARD8
CARD9
CARHSP1
CARKD
CARM1
CARNS1
CASC3
CASC4
CASC5
CASK
CASP1
CASP10
CASP14
CASP2
CASP3
CASP4
CASP5
CASP6
CASP7
CASP8
CASP8AP2
CASP9
CASQ2
CASR
CAST
CATSPER1
CAV1
CAV2
CBFA2T2
CBFA2T3
CBFB
CBL
CBLB
CBLC
CBLL1
CBR1
CBR3
CBS
CBWD3
CBWD5
CBX1
CBX2
CBX3
CBX4
CBX5
CBX6
CBX7
CBX8
CBY1
CC2D1A
CC2D1B
CCAR1
CCBE1
CCBL1
CCBL2
CCBP2
CCDC101
CCDC102B
CCDC103
CCDC104
CCDC106
CCDC107
CCDC108
CCDC109B
CCDC11
CCDC112
CCDC113
CCDC114
CCDC115
CCDC116
CCDC120
CCDC121
CCDC127
CCDC130
CCDC134
CCDC135
CCDC136
CCDC137
CCDC14
CCDC146
CCDC147
CCDC148
CCDC150
CCDC151
CCDC153
CCDC155
CCDC158
CCDC165
CCDC17
CCDC22
CCDC24
CCDC25
CCDC26
CCDC28A
CCDC28B
CCDC33
CCDC36
CCDC42
CCDC43
CCDC45
CCDC47
CCDC50
CCDC53
CCDC57
CCDC6
CCDC60
CCDC64B
CCDC67
CCDC68
CCDC69
CCDC7
CCDC70
CCDC85A
CCDC85B
CCDC85C
CCDC86
CCDC87
CCDC88A
CCDC88B
CCDC88C
CCDC90B
CCDC91
CCDC92
CCDC93
CCDC94
CCDC97
CCDC99
CCHCR1
CCK
CCKAR
CCKBR
CCL11
CCL13
CCL14
CCL15
CCL16
CCL18
CCL2
CCL21
CCL22
CCL23
CCL27
CCL28
CCL3
CCL3L1
CCL3L3
CCL4
CCL4L1
CCL5
CCL7
CCL8
CCNA1
CCNA2
CCNB1
CCNB1IP1
CCNB2
CCNC
CCND1
CCND2
CCND3
CCNDBP1
CCNE1
CCNE2
CCNG1
CCNG2
CCNH
CCNI
CCNJL
CCNK
CCNL1
CCNL2
CCNO
CCNT1
CCNT2
CCNY
CCR1
CCR10
CCR2
CCR3
CCR5
CCR7
CCS
CCT2
CCT3
CCT4
CCT5
CCT6A
CCT7
CCT8
CD101
CD160
CD164
CD177
CD19
CD1A
CD1B
CD1D
CD2
CD209
CD22
CD226
CD244
CD247
CD27
CD28
CD2AP
CD2BP2
CD300A
CD300LF
CD300LG
CD302
CD33
CD36
CD3D
CD3E
CD3G
CD4
CD40
CD40LG
CD44
CD46
CD47
CD48
CD5
CD58
CD63
CD69
CD7
CD70
CD72
CD74
CD79A
CD79B
CD80
CD81
CD82
CD84
CD86
CD8A
CD8B
CD9
CD93
CD97
CD99
CD99L2
CDA
CDAN1
CDC123
CDC16
CDC20
CDC20B
CDC23
CDC25A
CDC25B
CDC25C
CDC26
CDC27
CDC34
CDC37
CDC37L1
CDC40
CDC42
CDC42BPA
CDC42BPB
CDC42EP1
CDC42EP2
CDC42EP3
CDC42EP4
CDC42EP5
CDC42SE1
CDC45
CDC5L
CDC6
CDC7
CDC73
CDCA2
CDCA3
CDCA4
CDCA5
CDCA7L
CDCA8
CDCP1
CDH1
CDH10
CDH11
CDH13
CDH15
CDH2
CDH23
CDH24
CDH3
CDH5
CDIPT
CDK1
CDK10
CDK11A
CDK11B
CDK12
CDK13
CDK14
CDK16
CDK17
CDK18
CDK19
CDK2
CDK2AP1
CDK2AP2
CDK3
CDK4
CDK5
CDK5R1
CDK5RAP1
CDK5RAP2
CDK5RAP3
CDK6
CDK7
CDK8
CDK9
CDKAL1
CDKL1
CDKL3
CDKL5
CDKN1A
CDKN1B
CDKN1C
CDKN2A
CDKN2B
CDKN2C
CDKN2D
CDKN3
CDR1
CDR2
CDRT4
CDS2
CDSN
CDT1
CDX4
CDYL
CEACAM1
CEACAM5
CEBPA
CEBPB
CEBPD
CEBPE
CEBPG
CEBPZ
CELA1
CELA2B
CELA3A
CELF1
CELF2
CELF3
CELSR1
CELSR2
CELSR3
CEND1
CENPA
CENPB
CENPBD1
CENPC1
CENPE
CENPF
CENPH
CENPJ
CENPK
CENPL
CENPN
CENPO
CENPP
CENPQ
CENPT
CEP135
CEP152
CEP170
CEP170L
CEP170P1
CEP192
CEP250
CEP290
CEP350
CEP44
CEP55
CEP57
CEP57L1
CEP63
CEP68
CEP70
CEP72
CEP76
CEP78
CEP95
CERCAM
CERK
CERS1
CES1
CETN1
CETN2
CETN3
CETP
CFD
CFDP1
CFH
CFHR4
CFI
CFL1
CFL2
CFLAR
CFTR
CGA
CGB
CGB5
CGGBP1
CGN
CGNL1
CGRRF1
CHAC1
CHAF1A
CHAF1B
CHAT
CHCHD2
CHCHD3
CHD1L
CHD2
CHD3
CHD4
CHD6
CHD8
CHDH
CHEK1
CHEK2
CHFR
CHGA
CHGB
CHIC2
CHKA
CHM
CHML
CHMP1A
CHMP1B
CHMP2A
CHMP2B
CHMP3
CHMP4A
CHMP4B
CHMP4C
CHMP5
CHMP6
CHMP7
CHN1
CHN2
CHP
CHPF
CHRAC1
CHRD
CHRDL2
CHRNA4
CHRNB1
CHRNG
CHST1
CHTF18
CHTF8
CHTOP
CHUK
CHURC1
CIAO1
CIAPIN1
CIB1
CIB3
CIC
CIDEA
CIITA
CINP
CIR1
CIRBP
CISH
CIT
CIZ1
CKAP4
CKAP5
CKB
CKM
CKMT1A
CKMT1B
CKMT2
